Nr points, dim, nr neigh, python execution time
8,2,2,0.001352071762084961
8,4,2,0.0005040168762207031
8,8,2,0.0004572868347167969
8,16,2,0.0006091594696044922
8,32,2,0.0004630088806152344
8,64,2,0.00047707557678222656
8,128,2,0.0004482269287109375
16,2,2,0.0004839897155761719
16,4,2,0.0006220340728759766
16,8,2,0.0005052089691162109
16,16,2,0.0004899501800537109
16,32,2,0.0006401538848876953
16,64,2,0.0004658699035644531
16,128,2,0.0004830360412597656
16,2,4,0.0005040168762207031
16,4,4,0.00046324729919433594
16,8,4,0.0004699230194091797
16,16,4,0.0005459785461425781
16,32,4,0.0004799365997314453
16,64,4,0.0004820823669433594
16,128,4,0.00048828125
32,2,2,0.0005018711090087891
32,4,2,0.00047206878662109375
32,8,2,0.00047278404235839844
32,16,2,0.0004930496215820312
32,32,2,0.00047278404235839844
32,64,2,0.0004990100860595703
32,128,2,0.0005211830139160156
32,2,4,0.0004820823669433594
32,4,4,0.0005109310150146484
32,8,4,0.0004999637603759766
32,16,4,0.0005047321319580078
32,32,4,0.0005009174346923828
32,64,4,0.0005178451538085938
32,128,4,0.0005319118499755859
32,2,8,0.0005862712860107422
32,4,8,0.0005049705505371094
32,8,8,0.00048804283142089844
32,16,8,0.0004892349243164062
32,32,8,0.0005128383636474609
32,64,8,0.0005190372467041016
32,128,8,0.0006399154663085938
64,2,2,0.0005507469177246094
64,4,2,0.0006208419799804688
64,8,2,0.0006070137023925781
64,16,2,0.0006768703460693359
64,32,2,0.0006122589111328125
64,64,2,0.0005710124969482422
64,128,2,0.0005779266357421875
64,2,4,0.0006430149078369141
64,4,4,0.0006659030914306641
64,8,4,0.0006031990051269531
64,16,4,0.0006639957427978516
64,32,4,0.0006909370422363281
64,64,4,0.0006101131439208984
64,128,4,0.0006241798400878906
64,2,8,0.0006480216979980469
64,4,8,0.0006041526794433594
64,8,8,0.0006000995635986328
64,16,8,0.0006031990051269531
64,32,8,0.0006120204925537109
64,64,8,0.0005960464477539062
64,128,8,0.0009138584136962891
64,2,16,0.0006799697875976562
64,4,16,0.0007069110870361328
64,8,16,0.0006420612335205078
64,16,16,0.0006401538848876953
64,32,16,0.0012581348419189453
64,64,16,0.0008640289306640625
64,128,16,0.0011801719665527344
128,2,2,0.0011179447174072266
128,4,2,0.0009200572967529297
128,8,2,0.0013360977172851562
